round,model,acc_mean,acc_std,prec_mean,rec_mean,f1_mean,f1_std,roc_mean
MLP ronda 5 (weight_decay),"MLP-C  [512,256] GELU drop0.2 Adam+wd + lr=5e-4 + drop=0.3 + wd=0",0.8969000000000001,0.0011879019787470254,0.8969454758860052,0.8969000000000001,0.8965781568044484,0.0012394266931577255,0.9926913603395062
MLP ronda 5 (weight_decay),"MLP-C  [512,256] GELU drop0.2 Adam+wd + lr=5e-4 + drop=0.3",0.8963000000000001,0.001146552804424325,0.8963454807294108,0.8962999999999999,0.8959832614340068,0.0014099908792775788,0.992641063271605
MLP ronda 5 (weight_decay),"MLP-C  [512,256] GELU drop0.2 Adam+wd + lr=5e-4 + drop=0.3 + wd=5e-4",0.8927166666666666,0.003399652760046079,0.8928478314482395,0.8927166666666666,0.8922138109375819,0.0032813125063747544,0.992290011574074
