round,model,acc_mean,acc_std,prec_mean,rec_mean,f1_mean,f1_std,roc_mean
MLP ronda 3 (dropout),"MLP-C  [512,256] GELU drop0.2 Adam+wd + lr=5e-4 + drop=0.3",0.8963000000000001,0.001146552804424325,0.8963454807294108,0.8962999999999999,0.8959832614340068,0.0014099908792775788,0.992641063271605
MLP ronda 3 (dropout),"MLP-C  [512,256] GELU drop0.2 Adam+wd + lr=5e-4 + drop=0.1",0.8955833333333334,0.001174083566967105,0.8957752304245756,0.8955833333333333,0.8953941527633111,0.000933363396358206,0.9926923533950618
MLP ronda 3 (dropout),"MLP-C  [512,256] GELU drop0.2 Adam+wd + lr=5e-4 + drop=0.4",0.8955499999999998,0.002751640924571719,0.8956954844572517,0.8955500000000001,0.8951635833352366,0.002633569804419385,0.9927118109567902
MLP ronda 3 (dropout),"MLP-C  [512,256] GELU drop0.2 Adam+wd + lr=5e-4",0.89395,0.0033211234712234514,0.8940205048272828,0.8939499999999999,0.8935597191403873,0.0037409132157984522,0.9926252407407408
