round,model,acc_mean,acc_std,prec_mean,rec_mean,f1_mean,f1_std,roc_mean,test_acc_mean,test_acc_std
CNN ronda 5 (weight_decay),"CNN-B  BN [32,64]->256,128 dropout+wd + lr=2e-3 + conv_drop=0.1",0.9231499999999999,0.0027172289806590534,0.9231199369810706,0.92315,0.9227829845986404,0.0024986797996055642,0.9955401388888889,0.9153800000000001,0.0025214281667341023
CNN ronda 5 (weight_decay),"CNN-B  BN [32,64]->256,128 dropout+wd + lr=2e-3 + conv_drop=0.1 + wd=0",0.9228666666666665,0.0018442854683830769,0.9226446397213433,0.9228666666666667,0.9223313619346815,0.0017921232954853426,0.995637448302469,0.91518,0.0012528367810692603
CNN ronda 5 (weight_decay),"CNN-B  BN [32,64]->256,128 dropout+wd + lr=2e-3 + conv_drop=0.1 + wd=5e-4",0.9198500000000001,0.0025477386487279775,0.9200133607749723,0.91985,0.9197000716067523,0.0025956587830266815,0.9952672322530864,0.9124000000000001,0.001956527536223302
