round,model,acc_mean,acc_std,prec_mean,rec_mean,f1_mean,f1_std,roc_mean,test_acc_mean,test_acc_std
CNN ronda 6 (optimizador),"CNN-B  BN [32,64]->256,128 dropout+wd + lr=2e-3 + conv_drop=0.1",0.9231499999999999,0.0027172289806590534,0.9231199369810706,0.92315,0.9227829845986404,0.0024986797996055642,0.9955401388888889,0.9153800000000001,0.0025214281667341023
CNN ronda 6 (optimizador),"CNN-B  BN [32,64]->256,128 dropout+wd + lr=2e-3 + conv_drop=0.1 + SGD+mom lr=1e-2",0.9157,0.0016693728030477489,0.9159817670603779,0.9157,0.9154290090153762,0.0014431674642805471,0.994992862654321,0.91034,0.0022641554716936
CNN ronda 6 (optimizador),"CNN-B  BN [32,64]->256,128 dropout+wd + lr=2e-3 + conv_drop=0.1 + RMSprop",0.9004333333333333,0.01609157819758177,0.9018947089353686,0.9004333333333333,0.8993329390441479,0.017084880128207327,0.9929226134259259,0.89374,0.01304340446355934
