round,model,acc_mean,acc_std,prec_mean,rec_mean,f1_mean,f1_std,roc_mean
MLP ronda 4 (capacidad),"MLP-C  [512,256] GELU drop0.2 Adam+wd + lr=5e-4 + drop=0.3",0.8963000000000001,0.001146552804424325,0.8963454807294108,0.8962999999999999,0.8959832614340068,0.0014099908792775788,0.992641063271605
MLP ronda 4 (capacidad),"MLP-C  [512,256] GELU drop0.2 Adam+wd + lr=5e-4 + drop=0.3 + [512,256,128]",0.8949,0.0026506026568394727,0.8950037372717414,0.8949,0.8944799547515446,0.002849987253876553,0.9926137839506172
MLP ronda 4 (capacidad),"MLP-C  [512,256] GELU drop0.2 Adam+wd + lr=5e-4 + drop=0.3 + [1024,512]",0.8936166666666667,0.004006331794103477,0.8947737720424364,0.8936166666666667,0.8935302647042862,0.0039607690833638005,0.9926620640432098
MLP ronda 4 (capacidad),"MLP-C  [512,256] GELU drop0.2 Adam+wd + lr=5e-4 + drop=0.3 + [256,128]",0.8935666666666666,0.0022503086208093574,0.8939859569162918,0.8935666666666668,0.893357744146536,0.0024463004863515387,0.992531949074074
